"","coral_id","f0","fm","fv_fm","genus","date","time","treatment"
"99",52,447,1515,704,"acr","20230619","18:38","2"
"100",46,493,1788,724,"acr","20230619","18:38","2"
"101",46,535,1785,700,"acr","20230619","18:38","2"
"102",46,386,1799,785,"acr","20230619","18:38","2"
"103",45,551,1933,714,"acr","20230619","18:38","2"
"104",45,499,1657,698,"acr","20230619","18:38","2"
"105",45,511,1665,693,"acr","20230619","18:38","2"
"106",50,495,1715,711,"acr","20230619","18:38","2"
"107",50,557,1885,704,"acr","20230619","18:38","2"
"108",50,501,1703,705,"acr","20230619","18:38","2"
"109",54,613,1973,689,"por","20230603","18:55","0"
"110",54,626,1875,666,"por","20230603","18:55","0"
"111",54,647,1934,665,"por","20230603","18:55","0"
"112",44,674,1667,595,"por","20230603","18:55","0"
"113",44,576,1745,669,"por","20230603","18:55","0"
"114",44,544,1600,660,"por","20230603","18:55","0"
"115",48,793,2275,651,"por","20230603","18:55","0"
"116",48,868,2481,650,"por","20230603","18:55","0"
"117",48,628,1988,684,"por","20230603","18:55","0"
"118",47,686,2204,688,"por","20230603","18:55","1"
"119",47,677,2003,662,"por","20230603","18:55","1"
"120",47,829,2523,671,"por","20230603","18:55","1"
"121",43,721,2257,680,"por","20230603","18:55","1"
"122",43,665,1969,662,"por","20230603","18:55","1"
"123",43,756,2279,668,"por","20230603","18:55","1"
"124",52,699,2107,668,"por","20230603","18:55","2"
"125",52,904,2640,657,"por","20230603","18:55","2"
"126",52,801,2328,655,"por","20230603","18:55","2"
"127",51,755,2358,679,"por","20230603","18:55","1"
"128",51,802,2298,651,"por","20230603","18:55","1"
"129",51,722,2076,652,"por","20230603","18:55","1"
"130",58,855,2568,667,"por","20230603","18:55","2"
"131",58,822,2423,660,"por","20230603","18:55","2"
"132",58,847,2359,640,"por","20230603","18:55","2"
"133",46,708,2056,655,"por","20230603","18:55","2"
"134",46,739,2027,635,"por","20230603","18:55","2"
"135",46,691,1911,638,"por","20230603","18:55","2"
"136",41,693,2250,692,"por","20230603","18:55","2"
"137",41,648,1907,660,"por","20230603","18:55","2"
"138",41,675,1994,661,"por","20230603","18:55","2"
"139",55,775,2436,681,"por","20230603","18:55","1"
"140",55,824,3965,731,"por","20230603","18:55","1"
"141",55,566,2470,770,"por","20230603","18:55","1"
"142",56,846,2521,664,"por","20230603","18:55","0"
"143",56,982,3034,676,"por","20230603","18:55","0"
"144",56,777,2262,656,"por","20230603","18:55","0"
"145",53,730,2511,709,"por","20230603","18:55","0"
"146",53,992,2960,664,"por","20230603","18:55","0"
"147",53,982,2884,659,"por","20230603","18:55","0"
"148",50,790,2464,679,"por","20230603","18:55","1"
"149",50,894,2659,663,"por","20230603","18:55","1"
"150",50,836,2421,654,"por","20230603","18:55","1"
"151",49,762,2399,682,"por","20230603","18:55","0"
"152",49,692,1871,630,"por","20230603","18:55","0"
"153",49,666,2206,698,"por","20230603","18:55","0"
"154",57,833,2494,665,"por","20230603","18:55","1"
"155",57,822,2451,664,"por","20230603","18:55","1"
"156",57,816,2388,658,"por","20230603","18:55","1"
"157",42,930,2939,683,"por","20230603","18:55","2"
"158",42,875,2440,641,"por","20230603","18:55","2"
"159",42,932,2439,617,"por","20230603","18:55","2"
"160",45,789,2369,666,"por","20230603","18:55","2"
"161",45,867,2868,697,"por","20230603","18:55","2"
"162",45,920,2731,663,"por","20230603","18:55","2"
"163",50,832,2964,719,"por","20230619","18:38","1"
"164",50,819,2476,669,"por","20230619","18:38","1"
"165",50,1113,3031,632,"por","20230619","18:38","1"
"166",49,837,2042,590,"por","20230619","18:38","0"
"167",49,897,2332,615,"por","20230619","18:38","0"
"168",49,866,2328,628,"por","20230619","18:38","0"
"169",53,892,2958,698,"por","20230619","18:38","0"
"170",53,1085,3087,648,"por","20230619","18:38","0"
"171",53,976,2641,630,"por","20230619","18:38","0"
"172",57,820,2474,668,"por","20230619","18:38","1"
"173",57,880,2520,650,"por","20230619","18:38","1"
"174",57,910,2480,633,"por","20230619","18:38","1"
"175",45,757,2504,697,"por","20230619","18:38","2"
"176",45,1025,2840,639,"por","20230619","18:38","2"
"177",45,898,2603,655,"por","20230619","18:38","2"
"178",41,648,2011,677,"por","20230619","18:38","2"
"179",41,751,2249,666,"por","20230619","18:38","2"
"180",41,806,2457,671,"por","20230619","18:38","2"
"181",56,900,2761,674,"por","20230619","18:38","0"
"182",56,945,2714,651,"por","20230619","18:38","0"
"183",56,1032,3139,671,"por","20230619","18:38","0"
"184",55,774,3079,748,"por","20230619","18:38","1"
"185",55,1071,2855,624,"por","20230619","18:38","1"
"186",55,1115,3024,631,"por","20230619","18:38","1"
"187",42,956,2895,669,"por","20230619","18:38","2"
"188",42,985,2974,668,"por","20230619","18:38","2"
