"channel","delta_t","value","temp","coral_id"
"4","0.000",37.244,28.67,"54"
"4","0.043",37.222,28.683,"54"
"4","0.094",37.216,28.683,"54"
"4","0.143",37.194,28.689,"54"
"4","0.193",37.185,28.695,"54"
"4","0.244",37.172,28.701,"54"
"4","0.294",37.166,28.701,"54"
"4","0.343",37.125,28.713,"54"
"4","0.393",37.15,28.707,"54"
"4","0.444",37.138,28.713,"54"
"4","0.493",37.084,28.732,"54"
"4","0.543",37.066,28.738,"54"
"4","0.594",37.059,28.744,"54"
"4","0.644",37.059,28.744,"54"
"4","0.694",37.053,28.744,"54"
"4","0.744",37.037,28.75,"54"
"4","0.793",37.003,28.762,"54"
"4","0.843",36.997,28.762,"54"
"4","0.894",37.006,28.762,"54"
"4","0.944",36.991,28.768,"54"
"4","0.993",36.978,28.768,"54"
"4","1.043",36.95,28.787,"54"
"4","1.094",36.953,28.781,"54"
"4","1.143",36.928,28.793,"54"
"4","1.193",36.913,28.799,"54"
"4","1.244",36.897,28.805,"54"
"4","1.294",36.876,28.811,"54"
"4","1.343",36.885,28.811,"54"
"4","1.393",36.869,28.818,"54"
"4","1.444",36.857,28.824,"54"
"4","1.493",36.835,28.83,"54"
"4","1.543",36.82,28.836,"54"
"4","1.594",36.826,28.836,"54"
"4","1.643",36.823,28.836,"54"
"4","1.693",36.792,28.848,"54"
"4","1.743",36.786,28.854,"54"
"4","1.793",36.764,28.86,"54"
"4","1.844",36.742,28.867,"54"
"4","1.893",36.764,28.867,"54"
"4","1.943",36.749,28.867,"54"
"4","1.994",36.721,28.879,"54"
"4","2.043",36.705,28.885,"54"
"4","2.093",36.721,28.879,"54"
"4","2.144",36.705,28.885,"54"
"4","2.194",36.693,28.891,"54"
"4","2.244",36.696,28.891,"54"
"4","2.294",36.665,28.903,"54"
"4","2.343",36.662,28.903,"54"
"4","2.393",36.647,28.909,"54"
"4","2.443",36.632,28.916,"54"
"4","2.493",36.604,28.928,"54"
"4","2.544",36.607,28.928,"54"
"4","2.593",36.592,28.934,"54"
"4","2.643",36.579,28.94,"54"
"4","2.693",36.567,28.946,"54"
"4","2.744",36.564,28.946,"54"
"4","2.794",36.54,28.952,"54"
"4","2.844",36.53,28.959,"54"
"4","2.893",36.518,28.965,"54"
"4","2.943",36.506,28.971,"54"
"4","2.993",36.503,28.971,"54"
"4","3.044",36.475,28.983,"54"
