standard ,height_mm,diameter_mm,prewax_weight_g,postwax_weight_g
1,100,25,34.1412,36.9809
2,80,26,36.4339,39.0495
3,60,22,38.3388,40.2476
4,59,12.5,7.9956,8.7567
5,93,11.5,5.7743,6.8747
6,40,6.2,1.0846,1.3923
7,32.9,6.41,0.7631,0.9347
