"channel","delta_t","value","temp","coral_id"
"9","0.000",84.358,28.68,"53"
"9","0.053",84.362,28.686,"53"
"9","0.103",84.355,28.674,"53"
"9","0.153",84.351,28.68,"53"
"9","0.203",84.307,28.68,"53"
"9","0.252",84.336,28.68,"53"
"9","0.303",84.303,28.674,"53"
"9","0.352",84.281,28.674,"53"
"9","0.403",84.3,28.668,"53"
"9","0.453",84.266,28.674,"53"
"9","0.503",84.248,28.68,"53"
"9","0.553",84.244,28.674,"53"
"9","0.603",84.252,28.674,"53"
"9","0.653",84.252,28.674,"53"
"9","0.703",84.211,28.68,"53"
"9","0.753",84.211,28.68,"53"
"9","0.803",84.204,28.68,"53"
"9","0.853",84.204,28.68,"53"
"9","0.902",84.16,28.68,"53"
"9","0.953",84.16,28.68,"53"
"9","1.003",84.149,28.686,"53"
"9","1.053",84.164,28.674,"53"
"9","1.102",84.145,28.68,"53"
"9","1.152",84.156,28.674,"53"
"9","1.203",84.156,28.674,"53"
"9","1.253",84.131,28.68,"53"
"9","1.303",84.134,28.674,"53"
"9","1.353",84.145,28.668,"53"
"9","1.403",84.112,28.674,"53"
"9","1.453",84.131,28.668,"53"
"9","1.502",84.127,28.674,"53"
"9","1.553",84.087,28.68,"53"
"9","1.603",84.091,28.674,"53"
"9","1.653",84.109,28.668,"53"
"9","1.703",84.065,28.68,"53"
"9","1.753",84.072,28.668,"53"
"9","1.803",84.087,28.668,"53"
"9","1.853",84.065,28.668,"53"
"9","1.902",84.054,28.674,"53"
"9","1.952",84.072,28.668,"53"
"9","2.002",84.043,28.668,"53"
"9","2.053",84.043,28.668,"53"
"9","2.103",84.025,28.674,"53"
"9","2.153",84.039,28.674,"53"
"9","2.203",84.028,28.668,"53"
"9","2.253",84.021,28.668,"53"
"9","2.303",84.014,28.668,"53"
"9","2.353",84.028,28.668,"53"
"9","2.403",84.014,28.668,"53"
"9","2.453",83.995,28.662,"53"
"9","2.502",83.984,28.668,"53"
"9","2.552",83.966,28.674,"53"
"9","2.603",83.977,28.668,"53"
"9","2.653",83.973,28.674,"53"
"9","2.703",83.97,28.668,"53"
"9","2.753",83.995,28.662,"53"
"9","2.803",83.963,28.668,"53"
"9","2.853",83.955,28.668,"53"
"9","2.903",83.959,28.662,"53"
"9","2.952",83.933,28.668,"53"
"9","3.003",83.933,28.668,"53"
"9","3.052",83.952,28.662,"53"
"9","3.103",83.937,28.662,"53"
"9","3.153",83.952,28.662,"53"
"9","3.203",83.908,28.662,"53"
"9","3.253",83.93,28.662,"53"
"9","3.303",83.937,28.662,"53"
"9","3.353",83.893,28.662,"53"
"9","3.403",83.941,28.656,"53"
"9","3.453",83.922,28.662,"53"
"9","3.503",83.9,28.662,"53"
"9","3.553",83.911,28.656,"53"
"9","3.603",83.868,28.668,"53"
"9","3.653",83.882,28.656,"53"
"9","3.702",83.879,28.662,"53"
"9","3.753",83.897,28.656,"53"
"9","3.802",83.857,28.662,"53"
"9","3.853",83.853,28.656,"53"
"9","3.903",83.875,28.656,"53"
"9","3.953",83.842,28.662,"53"
"9","4.003",83.853,28.656,"53"
"9","4.052",83.868,28.656,"53"
"9","4.103",83.864,28.65,"53"
"9","4.153",83.864,28.65,"53"
"9","4.203",83.817,28.656,"53"
"9","4.253",83.846,28.656,"53"
"9","4.303",83.864,28.65,"53"
"9","4.353",83.824,28.656,"53"
"9","4.403",83.849,28.65,"53"
"9","4.453",83.82,28.65,"53"
"9","4.503",83.795,28.656,"53"
"9","4.553",83.809,28.656,"53"
"9","4.603",83.806,28.65,"53"
"9","4.652",83.798,28.65,"53"
"9","4.703",83.828,28.65,"53"
"9","4.753",83.773,28.656,"53"
"9","4.803",83.78,28.656,"53"
"9","4.853",83.777,28.65,"53"
"9","4.903",83.777,28.65,"53"
"9","4.953",83.788,28.644,"53"
"9","5.003",83.777,28.638,"53"
"9","5.052",83.762,28.65,"53"
"9","5.103",83.758,28.644,"53"
"9","5.153",83.762,28.65,"53"
"9","5.203",83.78,28.644,"53"
"9","5.255",83.773,28.644,"53"
"9","5.303",83.758,28.644,"53"
"9","5.353",83.762,28.638,"53"
"9","5.403",83.722,28.644,"53"
"9","5.453",83.729,28.644,"53"
"9","5.503",83.751,28.644,"53"
"9","5.553",83.74,28.638,"53"
"9","5.603",83.711,28.65,"53"
"9","5.653",83.729,28.644,"53"
"9","5.703",83.748,28.638,"53"
"9","5.752",83.7,28.644,"53"
"9","5.803",83.715,28.631,"53"
"9","5.853",83.682,28.638,"53"
"9","5.903",83.729,28.631,"53"
"9","5.953",83.682,28.638,"53"
"9","6.003",83.7,28.631,"53"
"9","6.052",83.708,28.631,"53"
"9","6.102",83.675,28.638,"53"
"9","6.153",83.678,28.631,"53"
"9","6.203",83.686,28.631,"53"
"9","6.253",83.678,28.631,"53"
"9","6.303",83.664,28.631,"53"
"9","6.353",83.66,28.638,"53"
"9","6.403",83.682,28.625,"53"
"9","6.453",83.649,28.631,"53"
"9","6.503",83.646,28.638,"53"
"9","6.553",83.642,28.631,"53"
"9","6.603",83.642,28.631,"53"
"9","6.652",83.631,28.638,"53"
"9","6.702",83.642,28.631,"53"
"9","6.753",83.624,28.625,"53"
"9","6.803",83.631,28.625,"53"
"9","6.853",83.635,28.631,"53"
"9","6.903",83.613,28.631,"53"
"9","6.952",83.624,28.625,"53"
"9","7.003",83.624,28.625,"53"
"9","7.053",83.609,28.625,"53"
"9","7.103",83.609,28.625,"53"
"9","7.153",83.628,28.619,"53"
"9","7.203",83.602,28.625,"53"
"9","7.253",83.628,28.619,"53"
"9","7.302",83.61,28.613,"53"
"9","7.352",83.606,28.619,"53"
"9","7.403",83.577,28.619,"53"
"9","7.453",83.588,28.613,"53"
"9","7.503",83.602,28.613,"53"
"9","7.552",83.577,28.619,"53"
"9","7.602",83.555,28.619,"53"
"9","7.653",83.57,28.619,"53"
"9","7.703",83.573,28.613,"53"
"9","7.752",83.562,28.619,"53"
"9","7.803",83.591,28.607,"53"
"9","7.853",83.551,28.613,"53"
"9","7.902",83.555,28.607,"53"
"9","7.953",83.577,28.607,"53"
"9","8.003",83.562,28.607,"53"
"9","8.053",83.57,28.607,"53"
