"","coral_id","species","day7"
"1",46,"acr",7.85838739398629
"2",53,"acr",7.44794345146001
"3",52,"acr",9.05436262726511
"4",45,"acr",8.32263484957781
"5",57,"acr",7.45870415407306
"6",47,"acr",8.17352225622557
"7",51,"acr",8.16737328330383
"8",43,"acr",8.0274841493342
"9",50,"acr",9.77379245910893
"10",54,"por",19.9165232935224
"11",43,"por",26.3560351858167
"12",52,"por",30.60343823151
"13",48,"por",31.5503800614583
"14",46,"por",28.5312343568829
"15",44,"por",45.082732218982
"16",47,"por",17.1648579110428
"17",58,"por",22.1716591125713
"18",51,"por",28.3882707364524
"19",56,"acr",7.42642204623391
"20",54,"acr",10.1842364016352
"21",55,"acr",9.69231856789584
"22",48,"acr",10.2242047256265
"23",41,"acr",8.10895804054728
"24",42,"acr",8.40410874079089
"25",44,"acr",8.91293625006504
"26",58,"acr",8.79303127809108
"27",49,"acr",7.43257101915566
"28",49,"por",21.1063495538795
"29",57,"por",20.592910314914
"30",45,"por",21.7581406835841
"31",56,"por",23.0494249971499
"32",50,"por",27.7272561473652
"33",42,"por",28.7233897606874
"34",53,"por",26.7249735611212
"35",55,"por",31.0784463897146
"36",41,"por",18.7497556816218
