species,genus,coral_id,treatment,timepoint,timepoint_label,dark_r2,light_r2,surface_area_cm2,resp_rate_umol_cm2_hr,photo_rate_umol_cm2_hr,gross_photo_rate,p_to_r_ratio,treatment_label,days_post_wound
Porites spp.,Porites,41,2,Pre-wound,Pre-wound,0.9994304783857942,0.9992124667722104,18.3888614264487,-0.3690498554977542,-0.24666430066211523,-0.6157141561598695,0.668376635263623,Large Wound,-1
Porites spp.,Porites,42,2,Pre-wound,Pre-wound,0.9908669322256118,0.9935145191493387,14.6469039753722,-0.40788144885263833,0.1428757278869461,-0.2650057209656922,0.35028738935995357,Large Wound,-1
Porites spp.,Porites,43,1,Pre-wound,Pre-wound,0.9664456121627976,0.8277562472444274,13.5607906935436,-0.3564450265554141,NA,NA,NA,Small Wound,-1
Porites spp.,Porites,44,0,Pre-wound,Pre-wound,0.9813665019512626,0.9450739508617348,19.9288727962057,-0.37054225642129746,0.06731725060362326,-0.3032250058176742,0.18167226392415875,Control,-1
Porites spp.,Porites,46,2,Pre-wound,Pre-wound,0.9991072314496618,0.9984063744626608,16.719164888712,-0.4615554679370005,-0.19194278746553037,-0.6534982554025308,0.4158607162069834,Large Wound,-1
Porites spp.,Porites,47,1,Pre-wound,Pre-wound,0.990543125923565,0.9942228405824808,14.6577110727039,-0.2838816867014436,0.13912089351155127,-0.14476079318989232,0.49006646088398,Small Wound,-1
Porites spp.,Porites,48,0,Pre-wound,Pre-wound,0.9636890298246348,0.9983265439260484,30.2739667169072,-0.2346702990558523,-0.13155232570708597,-0.36622262476293826,0.5605836198119647,Control,-1
Porites spp.,Porites,49,0,Pre-wound,Pre-wound,0.9930478928819384,0.974945104374864,13.2419813222605,-0.49393729022839594,0.0826136906171066,-0.41132359961128934,0.1672554234139847,Control,-1
Porites spp.,Porites,51,1,Pre-wound,Pre-wound,0.9715781299874008,0.9983274138318486,17.6269610645688,-0.4876169647742062,-0.3050219143938154,-0.7926388791680216,0.6255358948289618,Small Wound,-1
Porites spp.,Porites,52,2,Pre-wound,Pre-wound,0.9906945993733396,0.9969274930427972,16.5489531057389,-0.46670478156620054,0.1823912800459103,-0.2843135015202902,0.39080653820136335,Large Wound,-1
Porites spp.,Porites,53,0,Pre-wound,Pre-wound,0.9607416354251144,0.996116182112062,12.3368869207366,-0.6440802363967161,-0.3622996137242774,-1.0063798501209935,0.5625069568213266,Control,-1
Porites spp.,Porites,54,0,Pre-wound,Pre-wound,0.9675915188640546,0.9980393865257032,28.3476016175445,-0.20706573804805645,-0.12554886965353784,-0.3326146077015943,0.606323725194943,Control,-1
Porites spp.,Porites,55,1,Pre-wound,Pre-wound,0.9286178525656834,0.9953727390769008,22.9386494030643,-0.24090113050565864,-0.08464873684774553,-0.3255498673534042,0.3513837260541921,Small Wound,-1
Porites spp.,Porites,57,1,Pre-wound,Pre-wound,0.9420319832462865,0.9941581732044448,11.5479688155277,-0.4623411195764494,-0.17529848703641882,-0.6376396066128682,0.3791540047249306,Small Wound,-1
Porites spp.,Porites,58,2,Pre-wound,Pre-wound,0.9913944069141042,0.9925988002204316,18.7698116073885,-0.32467022577827187,0.11717442667730577,-0.2074957991009661,0.3609029020028713,Large Wound,-1
Porites spp.,Porites,41,2,Day 1,Day 1,0.999079293806847,0.99340255358187,18.3888614264487,-0.2079596462704076,-0.2035927045023176,-0.4115523507727252,0.9790010136754526,Large Wound,1
Porites spp.,Porites,42,2,Day 1,Day 1,0.9973316714451704,0.9918467543669796,11.630975027926,-0.6848245088106024,-0.16819174020654193,-0.8530162490171443,0.2455983073658622,Large Wound,1
Porites spp.,Porites,43,1,Day 1,Day 1,0.999675992732074,0.9990829090320252,10.5448617460974,-0.7054999989734757,-0.3389755511947311,-1.0444755501682068,0.480475622520129,Small Wound,1
Porites spp.,Porites,44,0,Day 1,Day 1,0.999389343563762,0.998050600837572,16.9129438487595,-0.6304663212891416,-0.34330371798367043,-0.973770039272812,0.5445234842706627,Control,1
Porites spp.,Porites,45,2,Day 1,Day 1,0.9994140095658528,0.9992349661367076,15.2729668286849,-0.49233511581583694,-0.22394907585398435,-0.7162841916698213,0.4548712221814274,Large Wound,1
Porites spp.,Porites,46,2,Day 1,Day 1,0.9995711704496412,0.999593471457401,13.7032359412658,-0.6142832718833253,-0.3557808399556571,-0.9700641118389824,0.5791804143793009,Large Wound,1
Porites spp.,Porites,47,1,Day 1,Day 1,0.999132919662523,0.9987471559096752,11.6417821252577,-0.47801342413551434,-0.2448667821265907,-0.722880206262105,0.5122592165051252,Small Wound,1
Porites spp.,Porites,48,0,Day 1,Day 1,0.9996964339381912,0.9987912102312246,30.2739667169072,-0.3162697489790045,-0.14486706448747858,-0.46113681346648305,0.4580490703114813,Control,1
Porites spp.,Porites,49,0,Day 1,Day 1,0.9970674569205508,0.9891555919349946,10.2260523748143,-0.8119854693299661,-0.1883147265431799,-1.000300195873146,0.2319188380286822,Control,1
Porites spp.,Porites,50,1,Day 1,Day 1,0.9983430138434088,0.9972248218551673,16.31855349552,-0.5932235852123293,-0.1889706124628204,-0.7821941976751497,0.3185487178416602,Small Wound,1
Porites spp.,Porites,51,1,Day 1,Day 1,0.9995863447952724,0.9941144179826976,17.6269610645688,-0.463868450480582,-0.1481552092481217,-0.6120236597287037,0.319390570957409,Small Wound,1
Porites spp.,Porites,52,2,Day 1,Day 1,0.9995098545054018,0.9936466691485636,13.533024158292699,-0.8137385041307765,-0.24386824416122105,-1.0576067482919975,0.29968871194280955,Large Wound,1
