date,timepoint,coral_id,treatment,dark_rate_umol_L_min,dark_r2,dark_n,light_rate_umol_L_min,light_r2,light_n
20230528,Day 1,51,1,-0.2096561824539251,0.9995863447952723,316,-0.06696220781870985,0.9941144179826977,300
20230528,Day 1,52,2,-0.28236776499832716,0.9995098545054018,316,-0.08462243178651863,0.9936466691485635,300
20230528,Day 1,53,0,-0.14922056049270982,0.9983785221482162,309,-0.06723035484832027,0.9795679998289157,300
20230528,Day 1,54,0,-0.10837643135121389,0.9984140362439254,316,-0.11191308206412706,0.9915188456099714,300
20230528,Day 1,55,1,-0.21298099943982882,0.9947854848997043,309,-0.01273711314947054,0.9098045269659828,300
20230528,Day 1,56,0,-0.23186062630914642,0.9953732180544334,309,-0.023096136695520953,0.9692740215172696,300
20230528,Day 1,57,1,-0.19110705823150811,0.9982247581459648,309,-0.03714763994688878,0.9892642877139579,300
20230528,Day 1,58,2,-0.12154129558951078,0.9992556995666247,316,-0.11536565229535695,0.992838543007673,300
20230603,Day 7,0,Blank,0.17254200541924486,0.2319905793865501,320,0.4432021870228938,0.8908968300852433,300
20230603,Day 7,1,Blank,-0.017176026845758086,0.925571587744697,339,0.02800698818275104,0.9687476183318755,300
20230603,Day 7,41,2,-0.0949981988690397,0.9940948432323902,339,-0.03895848361584532,0.9878020817440973,300
20230603,Day 7,42,2,-0.09188081976756136,0.9919491128776503,339,0.022001632296207344,0.9666105580205049,300
20230603,Day 7,43,1,-1.4501723711943066,0.9301025478915492,320,1.362269416250142,0.9632445190277333,300
20230603,Day 7,44,0,-0.17974988616196025,0.9831406223354547,320,-0.015489152158575685,0.7373317897403537,300
20230603,Day 7,45,2,-0.14410278944102656,0.9945154348935069,339,-0.021656778350011157,0.9299761469774878,300
20230603,Day 7,46,2,-0.17637822674486497,0.9977840503778216,320,-0.09291376373678399,0.9978447342567095,300
20230603,Day 7,47,1,-0.07676428752817165,0.9844237248554317,320,0.031229747624348447,0.9785825546600646,300
20230603,Day 7,48,0,-0.1089796501151372,0.9853177817967149,320,0.03227698838539362,0.9823407044541559,300
20230603,Day 7,49,0,-0.10103675950098881,0.9819279496416511,339,0.00456663409860868,0.38226972724557556,300
20230603,Day 7,50,1,-0.12302416645241776,0.9706221717902673,339,0.0486658080505615,0.986101101717673,300
20230603,Day 7,51,1,-0.16764367455601717,0.9900871272435671,320,-0.017265091690554516,0.9344294547785666,300
20230603,Day 7,52,2,-0.15299558997429055,0.9903380059354882,320,-0.04143173919096289,0.9751314175089246,300
20230603,Day 7,53,0,-0.16206641978505001,0.9867836792019328,339,-0.008716154279422322,0.5440954591008845,300
20230603,Day 7,54,0,-1.2104317042900663,0.9333964458893398,320,0.1197249234837096,0.17194761437872952,300
20230603,Day 7,55,1,-0.10863203457687266,0.957680280387113,339,0.08745590722543237,0.9966022701231584,300
20230603,Day 7,56,0,-0.18055671385174688,0.9875013188577438,339,0.03412780192786077,0.9640357227618035,300
20230603,Day 7,57,1,-0.06323075466809114,0.9825687490671554,339,0.039993507593471436,0.9912258336974671,300
20230603,Day 7,58,2,-0.12088991913937819,0.9737855106779926,320,0.027453064515894868,0.9688253197109786,300
20230619,Day 23,0,Blank,-0.012341974689640798,0.7104643763106532,324,-0.04578861410510671,0.9657463301247659,300
20230619,Day 23,1,Blank,-0.028578087960042946,0.9581833387085089,296,-0.03307870363834919,0.9694538889094725,300
20230619,Day 23,41,2,-0.1254104357957989,0.9983648261951065,296,-0.06398399537131604,0.9947366483262274,300
20230619,Day 23,42,2,-0.20102307328811472,0.998522550325049,296,-0.02292094647470478,0.9322204631423755,300
20230619,Day 23,43,1,-0.07099671796701858,0.9799157353365021,324,0.005131346815486828,0.12681960899204103,300
20230619,Day 23,44,0,-0.15994228690466633,0.9418481264877806,324,0.06381567212508879,0.7501302210429271,300
20230619,Day 23,45,2,-0.18676535539655761,0.9990577684492573,296,0.006286568091629919,0.6154361819642608,300
20230619,Day 23,46,2,-0.2251604298977772,0.9937077608018816,324,-0.04657945620822227,0.5983390054956476,300
20230619,Day 23,47,1,-0.0695499609397242,0.9811425911279505,324,0.022910790804541975,0.8172018862330441,300
20230619,Day 23,48,0,-0.23662843712088016,0.9928562547527114,324,-0.01888539095533682,0.2280959783292328,300
20230619,Day 23,49,0,-0.11326106347120822,0.9937558982387142,296,0.03011141164429961,0.9835875121372748,300
20230619,Day 23,50,1,-0.14288592277302925,0.9889840810110836,296,0.06524477089745873,0.9866234011702567,300
20230619,Day 23,51,1,-0.09535054572952738,0.9382782258516762,324,0.053992638845936504,0.8509830220989715,300
20230619,Day 23,52,2,-0.1251963355915966,0.9737194559376752,324,0.0097696976532,0.14139774851323994,300
20230619,Day 23,53,0,-0.18496936022451038,0.9948293853617596,296,-0.003945814422221178,0.250954153433513,300
20230619,Day 23,54,0,-0.08082967226962616,0.9653385443431982,324,0.03204213167958042,0.7999320017676671,300
20230619,Day 23,55,1,-0.17531375935029356,0.9973090931257184,296,0.018167450638076944,0.8725038881186831,300
20230619,Day 23,56,0,-0.12610010551356365,0.9933792522762482,296,-0.00395766918164607,0.279285076404293,300
20230619,Day 23,57,1,-0.17111428869871353,0.998613488758246,296,0.023176718381125387,0.9464628789851949,300
20230619,Day 23,58,2,-0.1817471574440969,0.9718566248563183,324,0.0992119543908549,0.8707564216965302,300
