date,timepoint,coral_id,treatment,dark_rate_umol_L_min,dark_r2,dark_n,light_rate_umol_L_min,light_r2,light_n
20230526,Pre-wound,0,Blank,-0.09398712591709285,0.9975028250109149,310,-0.06650440920880082,0.9924342174389635,300
20230526,Pre-wound,1,Blank,-0.010501917343621072,0.9507393268826202,526,-0.02180162940598416,0.9803834421437988,300
20230526,Pre-wound,41,2,-0.17401042697946456,0.9994304783857942,310,-0.11630450368532091,0.9992124667722105,300
20230526,Pre-wound,42,2,-0.1531846260174431,0.9908669322256118,310,0.053658642737730966,0.9935145191493387,300
20230526,Pre-wound,43,1,-0.12394042048391182,0.9664456121627977,310,0.013597773308591913,0.8277562472444274,300
20230526,Pre-wound,44,0,-0.18934588445741207,0.9813665019512626,310,0.03439889549410024,0.9450739508617348,300
20230526,Pre-wound,45,2,-0.04943231896584114,0.779410171166717,526,0.006177454327341403,0.7876421243666706,300
20230526,Pre-wound,46,2,-0.19786723009552143,0.9991072314496618,310,-0.08228520802141552,0.9984063744626608,300
20230526,Pre-wound,47,1,-0.10669373698722076,0.990543125923565,310,0.052287022083813466,0.9942228405824809,300
20230526,Pre-wound,48,0,-0.18216412366829568,0.9636890298246348,526,-0.10211822384584761,0.9983265439260485,300
20230526,Pre-wound,49,0,-0.16771047106595854,0.9930478928819383,310,0.02805048584909572,0.974945104374864,300
20230526,Pre-wound,50,1,-0.07154222760118757,0.8438421257863422,526,-0.010848299596929064,0.8349951401075534,300
20230526,Pre-wound,51,1,-0.22038987826918327,0.9715781299874009,526,-0.13786177971435953,0.9983274138318486,300
20230526,Pre-wound,52,2,-0.1980378344708505,0.9906945993733395,310,0.07739448052244771,0.9969274930427973,300
20230526,Pre-wound,53,0,-0.2037421806232714,0.9607416354251145,526,-0.11460639399853743,0.996116182112062,300
20230526,Pre-wound,54,0,-0.15050812950843923,0.9675915188640546,526,-0.09125664975567982,0.9980393865257032,300
20230526,Pre-wound,55,1,-0.1416909377813113,0.9286178525656834,526,-0.04978788966570987,0.9953727390769008,300
20230526,Pre-wound,56,0,-0.064643802230401,0.7296792718891227,526,-0.03707681267876375,0.8536972109012377,300
20230526,Pre-wound,57,1,-0.13690002130782053,0.9420319832462863,526,-0.05190619132578849,0.9941581732044448,300
20230526,Pre-wound,58,2,-0.15625638390734492,0.9913944069141042,310,0.056393382408635555,0.9925988002204316,300
20230528,Day 1,0,Blank,-0.02392249139183904,0.9779078719185343,316,-0.05120679926196021,0.9868161584913067,300
20230528,Day 1,1,Blank,-0.02869117094485446,0.9861728650340332,309,-0.056334309956892085,0.9888772366788444,300
20230528,Day 1,41,2,-0.09805490045025166,0.999079293806847,309,-0.09599584693664195,0.9934025535818701,300
20230528,Day 1,42,2,-0.2042353015509694,0.9973316714451705,309,-0.050159844365274535,0.9918467543669797,300
20230528,Day 1,43,1,-0.1907538448986451,0.9996759927320741,316,-0.09165257237578464,0.9990829090320252,300
20230528,Day 1,44,0,-0.2734113202691594,0.999389343563762,316,-0.14887888475200475,0.9980506008375719,300
20230528,Day 1,45,2,-0.19280558698594913,0.9994140095658528,309,-0.0877017129957062,0.9992349661367075,300
20230528,Day 1,46,2,-0.21583765665102395,0.9995711704496412,316,-0.12500894341779734,0.999593471457401,300
20230528,Day 1,47,1,-0.14269046504446303,0.999132919662523,316,-0.07309450582642858,0.9987471559096752,300
20230528,Day 1,48,0,-0.24550615010653784,0.9996964339381913,316,-0.11245386381205065,0.9987912102312246,300
20230528,Day 1,49,0,-0.21290784453734368,0.9970674569205509,309,-0.04937733991229206,0.9891555919349946,300
20230528,Day 1,50,1,-0.24821925154080932,0.9983430138434088,309,-0.07906992432194133,0.9972248218551673,300
