"channel","delta_t","value","temp","coral_id"
"7","0.000",66.503,28.722,"52"
"7","0.043",66.474,28.734,"52"
"7","0.093",66.432,28.741,"52"
"7","0.144",66.396,28.747,"52"
"7","0.194",66.373,28.759,"52"
"7","0.243",66.361,28.759,"52"
"7","0.293",66.347,28.765,"52"
"7","0.343",66.336,28.765,"52"
"7","0.394",66.316,28.771,"52"
"7","0.443",66.286,28.777,"52"
"7","0.493",66.282,28.784,"52"
"7","0.543",66.255,28.784,"52"
"7","0.594",66.243,28.796,"52"
"7","0.644",66.212,28.802,"52"
"7","0.694",66.192,28.808,"52"
"7","0.744",66.209,28.808,"52"
"7","0.794",66.192,28.808,"52"
"7","0.843",66.189,28.814,"52"
"7","0.893",66.144,28.827,"52"
"7","0.944",66.135,28.833,"52"
"7","0.994",66.141,28.833,"52"
"7","1.043",66.121,28.839,"52"
"7","1.093",66.121,28.839,"52"
"7","1.144",66.104,28.851,"52"
"7","1.194",66.087,28.851,"52"
"7","1.243",66.071,28.851,"52"
"7","1.293",66.045,28.857,"52"
"7","1.344",66.028,28.87,"52"
"7","1.394",66.045,28.87,"52"
"7","1.444",66.025,28.876,"52"
"7","1.494",66.03,28.876,"52"
"7","1.543",65.996,28.888,"52"
"7","1.593",66.002,28.888,"52"
"7","1.643",65.971,28.894,"52"
"7","1.694",65.974,28.9,"52"
"7","1.743",65.94,28.913,"52"
"7","1.793",65.945,28.913,"52"
"7","1.843",65.945,28.913,"52"
"7","1.893",65.948,28.919,"52"
"7","1.943",65.908,28.931,"52"
"7","1.994",65.908,28.931,"52"
"7","2.043",65.869,28.944,"52"
"7","2.093",65.883,28.937,"52"
"7","2.143",65.869,28.944,"52"
"7","2.194",65.871,28.95,"52"
"7","2.244",65.857,28.956,"52"
"7","2.294",65.866,28.95,"52"
"7","2.343",65.826,28.962,"52"
"7","2.393",65.815,28.974,"52"
"7","2.444",65.823,28.968,"52"
"7","2.493",65.815,28.974,"52"
"7","2.543",65.784,28.98,"52"
"7","2.593",65.775,28.987,"52"
"7","2.644",65.775,28.987,"52"
"7","2.694",65.731,28.999,"52"
"7","2.743",65.736,28.999,"52"
"7","2.793",65.753,28.999,"52"
"7","2.844",65.717,29.005,"52"
"7","2.894",65.746,29.011,"52"
"7","2.943",65.699,29.017,"52"
"7","2.993",65.699,29.017,"52"
"7","3.043",65.691,29.024,"52"
"7","3.094",65.677,29.03,"52"
"7","3.143",65.673,29.036,"52"
"7","3.193",65.657,29.036,"52"
"7","3.243",65.665,29.042,"52"
"7","3.294",65.651,29.048,"52"
"7","3.343",65.617,29.06,"52"
"7","3.393",65.622,29.06,"52"
"7","3.444",65.612,29.06,"52"
"7","3.494",65.592,29.067,"52"
"7","3.543",65.594,29.073,"52"
"7","3.593",65.58,29.079,"52"
"7","3.644",65.566,29.085,"52"
"7","3.693",65.564,29.079,"52"
"7","3.743",65.53,29.091,"52"
"7","3.793",65.53,29.091,"52"
"7","3.844",65.538,29.097,"52"
"7","3.894",65.524,29.104,"52"
"7","3.943",65.485,29.116,"52"
"7","3.993",65.507,29.116,"52"
"7","4.043",65.501,29.116,"52"
"7","4.093",65.471,29.122,"52"
"7","4.143",65.476,29.122,"52"
"7","4.194",65.457,29.128,"52"
"7","4.244",65.462,29.128,"52"
"7","4.293",65.443,29.134,"52"
"7","4.343",65.434,29.14,"52"
"7","4.394",65.418,29.14,"52"
"7","4.444",65.404,29.147,"52"
"7","4.493",65.384,29.153,"52"
"7","4.543",65.379,29.153,"52"
"7","4.594",65.417,29.153,"52"
"7","4.644",65.383,29.165,"52"
