"channel","delta_t","value","temp","coral_id"
"6","0.000",64.85,27.95,"57"
"6","0.046",64.764,27.95,"57"
"6","0.096",64.691,27.956,"57"
"6","0.145",64.634,27.962,"57"
"6","0.195",64.538,27.962,"57"
"6","0.245",64.498,27.968,"57"
"6","0.296",64.434,27.968,"57"
"6","0.346",64.377,27.974,"57"
"6","0.395",64.342,27.98,"57"
"6","0.445",64.27,27.986,"57"
"6","0.496",64.227,27.986,"57"
"6","0.545",64.201,27.986,"57"
"6","0.595",64.16,27.993,"57"
"6","0.645",64.131,27.999,"57"
"6","0.696",64.085,28.005,"57"
"6","0.746",64.08,28.005,"57"
"6","0.795",64.029,28.011,"57"
"6","0.845",64.008,28.011,"57"
"6","0.895",63.992,28.011,"57"
"6","0.946",63.989,28.017,"57"
"6","0.995",63.92,28.017,"57"
"6","1.045",63.912,28.023,"57"
"6","1.095",63.912,28.023,"57"
"6","1.146",63.882,28.03,"57"
"6","1.196",63.868,28.036,"57"
"6","1.246",63.839,28.042,"57"
"6","1.296",63.858,28.036,"57"
"6","1.345",63.83,28.048,"57"
"6","1.395",63.812,28.042,"57"
"6","1.448",63.785,28.054,"57"
"6","1.496",63.79,28.054,"57"
"6","1.546",63.759,28.054,"57"
"6","1.595",63.753,28.054,"57"
"6","1.645",63.766,28.06,"57"
"6","1.696",63.71,28.067,"57"
"6","1.745",63.721,28.067,"57"
"6","1.795",63.717,28.073,"57"
"6","1.845",63.698,28.079,"57"
"6","1.896",63.698,28.079,"57"
"6","1.945",63.679,28.085,"57"
"6","1.996",63.679,28.085,"57"
"6","2.045",63.655,28.091,"57"
"6","2.095",63.647,28.097,"57"
"6","2.145",63.641,28.097,"57"
"6","2.195",63.65,28.091,"57"
"6","2.245",63.628,28.104,"57"
"6","2.296",63.624,28.11,"57"
"6","2.345",63.609,28.11,"57"
"6","2.396",63.59,28.116,"57"
"6","2.445",63.63,28.11,"57"
"6","2.495",63.587,28.122,"57"
"6","2.545",63.592,28.122,"57"
"6","2.596",63.562,28.128,"57"
"6","2.646",63.583,28.128,"57"
