"channel","delta_t","value","temp","coral_id"
"4","8.352",46.353,28.707,"57"
"4","8.403",46.365,28.707,"57"
"4","8.453",46.357,28.707,"57"
"4","8.503",46.349,28.707,"57"
"4","8.553",46.338,28.713,"57"
"4","8.603",46.342,28.713,"57"
"4","8.653",46.342,28.713,"57"
"4","8.703",46.349,28.707,"57"
"4","8.752",46.353,28.707,"57"
"4","8.803",46.385,28.701,"57"
"4","8.853",46.353,28.707,"57"
"4","8.903",46.353,28.707,"57"
"4","8.953",46.357,28.701,"57"
"4","9.002",46.388,28.695,"57"
"4","9.053",46.377,28.701,"57"
"4","9.103",46.397,28.695,"57"
"4","9.153",46.384,28.695,"57"
"4","9.203",46.369,28.701,"57"
"4","9.253",46.38,28.695,"57"
"4","9.303",46.38,28.695,"57"
"4","9.353",46.372,28.695,"57"
"4","9.403",46.372,28.695,"57"
"4","9.453",46.376,28.695,"57"
"4","9.503",46.388,28.695,"57"
"4","9.553",46.404,28.689,"57"
"4","9.603",46.372,28.695,"57"
"4","9.652",46.384,28.695,"57"
"4","9.703",46.376,28.695,"57"
"4","9.753",46.396,28.689,"57"
"4","9.803",46.368,28.695,"57"
"4","9.853",46.404,28.689,"57"
"4","9.903",46.392,28.689,"57"
"4","9.953",46.412,28.683,"57"
"4","10.003",46.42,28.683,"57"
"4","10.053",46.392,28.689,"57"
"4","10.103",46.412,28.683,"57"
"4","10.152",46.404,28.683,"57"
"4","10.203",46.4,28.689,"57"
"4","10.253",46.408,28.683,"57"
"4","10.303",46.412,28.683,"57"
"4","10.353",46.412,28.683,"57"
"4","10.403",46.443,28.677,"57"
"4","10.453",46.427,28.677,"57"
"4","10.503",46.4,28.683,"57"
"4","10.553",46.384,28.689,"57"
"4","10.603",46.404,28.683,"57"
"4","10.653",46.435,28.67,"57"
"4","10.703",46.431,28.677,"57"
"4","10.752",46.462,28.664,"57"
"4","10.803",46.439,28.677,"57"
"4","10.853",46.435,28.677,"57"
"4","10.903",46.431,28.677,"57"
"4","10.953",46.419,28.677,"57"
"4","11.003",46.419,28.677,"57"
"4","11.053",46.447,28.67,"57"
"4","11.103",46.419,28.677,"57"
"4","11.153",46.451,28.67,"57"
"4","11.203",46.47,28.664,"57"
"4","11.253",46.423,28.677,"57"
"4","11.303",46.458,28.664,"57"
"4","11.353",46.458,28.664,"57"
"4","11.403",46.451,28.67,"57"
"4","11.453",46.435,28.67,"57"
"4","11.503",46.431,28.67,"57"
"4","11.553",46.443,28.67,"57"
"4","11.603",46.462,28.664,"57"
"4","11.653",46.466,28.664,"57"
"4","11.703",46.458,28.664,"57"
"4","11.753",46.466,28.664,"57"
"4","11.802",46.45,28.664,"57"
"4","11.853",46.466,28.658,"57"
"4","11.903",46.47,28.658,"57"
"4","11.953",46.482,28.658,"57"
"4","12.003",46.427,28.67,"57"
"4","12.053",46.482,28.658,"57"
"4","12.102",46.446,28.664,"57"
"4","12.153",46.486,28.658,"57"
"4","12.203",46.502,28.652,"57"
"4","12.253",46.502,28.652,"57"
"4","12.303",46.49,28.652,"57"
"4","12.352",46.466,28.658,"57"
"4","12.403",46.466,28.658,"57"
"4","12.453",46.494,28.652,"57"
"4","12.503",46.502,28.652,"57"
"4","12.553",46.486,28.652,"57"
"4","12.603",46.486,28.652,"57"
"4","12.653",46.502,28.652,"57"
"4","12.702",46.517,28.646,"57"
"4","12.753",46.506,28.652,"57"
"4","12.803",46.517,28.646,"57"
"4","12.852",46.521,28.646,"57"
"4","12.902",46.521,28.646,"57"
"4","12.953",46.47,28.658,"57"
"4","13.003",46.533,28.64,"57"
"4","13.053",46.513,28.646,"57"
"4","13.103",46.529,28.64,"57"
"4","13.153",46.509,28.646,"57"
"4","13.202",46.525,28.646,"57"
"4","13.253",46.525,28.64,"57"
"4","13.303",46.505,28.646,"57"
"4","13.353",46.529,28.64,"57"
"4","13.403",46.537,28.64,"57"
"4","13.452",46.517,28.646,"57"
"4","13.503",46.545,28.64,"57"
"4","13.553",46.537,28.64,"57"
"4","13.603",46.509,28.646,"57"
"4","13.653",46.549,28.634,"57"
"4","13.703",46.557,28.634,"57"
"4","13.753",46.565,28.634,"57"
"4","13.803",46.517,28.646,"57"
"4","13.853",46.525,28.64,"57"
"4","13.903",46.561,28.634,"57"
"4","13.953",46.565,28.634,"57"
"4","14.003",46.553,28.634,"57"
"4","14.053",46.557,28.634,"57"
"4","14.103",46.541,28.64,"57"
"4","14.153",46.545,28.64,"57"
"4","14.203",46.581,28.627,"57"
"4","14.252",46.565,28.634,"57"
