"","coral_id","species","postwound"
"1",52,"acr",7.75001746932394
"2",42,"acr",7.15633083088711
"3",45,"acr",7.18307347225814
"4",49,"acr",6.30324057115132
"5",43,"acr",6.83943053064043
"6",50,"acr",8.51619414460389
"7",46,"acr",7.69855519364474
"8",55,"acr",9.53286243271368
"9",58,"acr",8.51038605888229
"10",47,"acr",8.03374293724661
"11",54,"acr",9.96491635909957
"12",44,"acr",8.76254564581214
"13",55,"por",21.7918160094921
"14",51,"por",28.1588455794707
"15",47,"por",16.9531195456615
"16",43,"por",26.084679221127
"17",46,"por",28.307988749789
"18",52,"por",29.9762396755138
"19",50,"por",27.3700780910865
"20",57,"por",20.3449735015593
"21",45,"por",21.3105602124857
"22",42,"por",28.349502828125
"23",44,"por",38.9653656096565
"24",41,"por",18.5368047562574
"25",48,"por",27.2547629532833
"26",58,"por",19.4004491826123
"27",54,"por",17.0002971195626
"28",53,"por",22.9906487866728
"29",56,"por",19.6932811056251
"30",49,"por",17.8801300206694
"31",56,"acr",6.34469166527641
"32",41,"acr",6.95709815267296
"33",57,"acr",6.36608577837324
"34",48,"acr",8.69002131351557
"35",51,"acr",6.89157868131394
"36",53,"acr",6.34068026907076
