coral_id,f0,fm,fv_fm,genus,date,time,
41,320,944,661,acr,20230603,18:31,
41,344,1031,666,acr,20230603,18:31,
41,301,881,658,acr,20230603,18:31,
48,376,1300,710,acr,20230603,18:31,
48,450,1353,667,acr,20230603,18:31,
48,445,1368,674,acr,20230603,18:31,
42,364,1444,747,acr,20230603,18:31,
42,395,1200,670,acr,20230603,18:31,
42,396,1237,679,acr,20230603,18:31,
56,428,1462,707,acr,20230603,18:31,
56,376,1193,684,acr,20230603,18:31,
56,290,1078,730,acr,20230603,18:31,
55,464,1458,681,acr,20230603,18:31,
55,465,1497,689,acr,20230603,18:31,
55,395,1161,659,acr,20230603,18:31,
58,304,1343,773,acr,20230603,18:31,
58,341,1099,689,acr,20230603,18:31,
58,340,1270,732,acr,20230603,18:31,
44,461,1572,706,acr,20230603,18:31,
44,497,1578,685,acr,20230603,18:31,
44,402,1269,683,acr,20230603,18:31,
54,420,1344,687,acr,20230603,18:31,
54,347,1267,726,acr,20230603,18:31,
54,409,1274,678,acr,20230603,18:31,
53,453,1589,714,acr,20230603,18:31,
53,496,1569,683,acr,20230603,18:31,
53,281,1487,811,acr,20230603,18:31,
49,389,1428,727,acr,20230603,18:31,
49,309,1297,761,acr,20230603,18:31,
49,530,1660,680,acr,20230603,18:31,
52,486,1599,696,acr,20230603,18:31,
52,440,1388,682,acr,20230603,18:31,
52,402,1376,707,acr,20230603,18:31,
57,517,1697,695,acr,20230603,18:31,
57,570,1828,688,acr,20230603,18:31,
57,412,1369,699,acr,20230603,18:31,
43,418,1358,692,acr,20230603,18:31,
43,458,1520,690,acr,20230603,18:31,
43,369,1116,669,acr,20230603,18:31,
45,585,1875,688,acr,20230603,18:31,
45,232,1332,825,acr,20230603,18:31,
45,505,1682,699,acr,20230603,18:31,
51,567,1927,705,acr,20230603,18:31,
51,546,1766,690,acr,20230603,18:31,
51,480,1644,708,acr,20230603,18:31,
50,454,1610,718,acr,20230603,18:31,
50,399,1224,674,acr,20230603,18:31,
50,348,1378,747,acr,20230603,18:31,
47,438,1371,680,acr,20230603,18:31,
47,411,1210,660,acr,20230603,18:31,
47,313,1040,696,acr,20230603,18:31,
46,541,1701,681,acr,20230603,18:31,
46,489,1560,686,acr,20230603,18:31,
46,520,1637,682,acr,20230603,18:55,
54,613,1973,689,por,20230603,18:55,
54,626,1875,666,por,20230603,18:55,
54,647,1934,665,por,20230603,18:55,
44,674,1667,595,por,20230603,18:55,
44,576,1745,669,por,20230603,18:55,
44,544,1600,660,por,20230603,18:55,
48,793,2275,651,por,20230603,18:55,
48,868,2481,650,por,20230603,18:55,
48,628,1988,684,por,20230603,18:55,
47,686,2204,688,por,20230603,18:55,
47,677,2003,662,por,20230603,18:55,
47,829,2523,671,por,20230603,18:55,
43,721,2257,680,por,20230603,18:55,
43,665,1969,662,por,20230603,18:55,
43,756,2279,668,por,20230603,18:55,
52,699,2107,668,por,20230603,18:55,
52,904,2640,657,por,20230603,18:55,
52,801,2328,655,por,20230603,18:55,
51,755,2358,679,por,20230603,18:55,
51,802,2298,651,por,20230603,18:55,
51,722,2076,652,por,20230603,18:55,
58,855,2568,667,por,20230603,18:55,
58,822,2423,660,por,20230603,18:55,
58,847,2359,640,por,20230603,18:55,
46,708,2056,655,por,20230603,18:55,
46,739,2027,635,por,20230603,18:55,
46,691,1911,638,por,20230603,18:55,
41,693,2250,692,por,20230603,18:55,
41,648,1907,660,por,20230603,18:55,
41,675,1994,661,por,20230603,18:55,
55,775,2436,681,por,20230603,18:55,
55,824,3965,731,por,20230603,18:55,
55,566,2470,770,por,20230603,18:55,
56,846,2521,664,por,20230603,18:55,
56,982,3034,676,por,20230603,18:55,
56,777,2262,656,por,20230603,18:55,
53,730,2511,709,por,20230603,18:55,
53,992,2960,664,por,20230603,18:55,
53,982,2884,659,por,20230603,18:55,
50,790,2464,679,por,20230603,18:55,
50,894,2659,663,por,20230603,18:55,
50,836,2421,654,por,20230603,18:55,
49,762,2399,682,por,20230603,18:55,
49,692,1871,630,por,20230603,18:55,
49,666,2206,698,por,20230603,18:55,
57,833,2494,665,por,20230603,18:55,
57,822,2451,664,por,20230603,18:55,
57,816,2388,658,por,20230603,18:55,
42,930,2939,683,por,20230603,18:55,
42,875,2440,641,por,20230603,18:55,
42,932,2439,617,por,20230603,18:55,
45,789,2369,666,por,20230603,18:55,
45,867,2868,697,por,20230603,18:55,
45,920,2731,663,por,20230603,18:55,
